"Estacion","Fecha inicial","Fecha final","O3"
"UNIVERSIDAD DE MEDELLÍN","2024-08-19","","42.69678359"
"UNIVERSIDAD DE MEDELLÍN","2024-08-18","","45.3208823"
"UNIVERSIDAD DE MEDELLÍN","2024-08-17","","44.00474556"
"UNIVERSIDAD DE MEDELLÍN","2024-08-16","","43.14639552"
"UNIVERSIDAD DE MEDELLÍN","2024-08-15","","34.65281747"
"UNIVERSIDAD DE MEDELLÍN","2024-08-14","","30.44281488"
"UNIVERSIDAD DE MEDELLÍN","2024-08-13","","25.16191842"
"UNIVERSIDAD DE MEDELLÍN","2024-08-12","","37.27691618"
"UNIVERSIDAD DE MEDELLÍN","2024-08-11","","22.74218877"
"UNIVERSIDAD DE MEDELLÍN","2024-08-10","","26.05972058"
"UNIVERSIDAD DE MEDELLÍN","2024-08-09","","18.44226379"
"UNIVERSIDAD DE MEDELLÍN","2024-08-08","","29.75613484"
"UNIVERSIDAD DE MEDELLÍN","2024-08-07","","30.26297011"
"UNIVERSIDAD DE MEDELLÍN","2024-08-06","","20.83924627"
"UNIVERSIDAD DE MEDELLÍN","2024-08-05","","27.4426771"
"UNIVERSIDAD DE MEDELLÍN","2024-08-04","","34.41574936"
"UNIVERSIDAD DE MEDELLÍN","2024-08-03","","38.97726674"
"UNIVERSIDAD DE MEDELLÍN","2024-08-02","","28.30647699"
"UNIVERSIDAD DE MEDELLÍN","2024-08-01","","29.75613484"
"UNIVERSIDAD DE MEDELLÍN","2024-07-31","","21.46194991"
"UNIVERSIDAD DE MEDELLÍN","2024-07-30","","19.35783717"
"UNIVERSIDAD DE MEDELLÍN","2024-07-29","","23.17545117"
"UNIVERSIDAD DE MEDELLÍN","2024-07-28","","23.28740988"
"UNIVERSIDAD DE MEDELLÍN","2024-07-27","","25.09652032"
"UNIVERSIDAD DE MEDELLÍN","2024-07-26","","33.09712466"
"UNIVERSIDAD DE MEDELLÍN","2024-07-25","","34.88171082"
"UNIVERSIDAD DE MEDELLÍN","2024-07-24","","27.21378376"
"UNIVERSIDAD DE MEDELLÍN","2024-07-23","","24.6877822"
"UNIVERSIDAD DE MEDELLÍN","2024-07-22","","26.6227129"
"UNIVERSIDAD DE MEDELLÍN","2024-07-21","","25.30088938"
"UNIVERSIDAD DE MEDELLÍN","2024-07-20","","22.60321781"
"UNIVERSIDAD DE MEDELLÍN","2024-07-19","","19.65679991"
"UNIVERSIDAD DE MEDELLÍN","2024-07-18","","40.80023874"
"UNIVERSIDAD DE MEDELLÍN","2024-07-17","","33.90073934"
"UNIVERSIDAD DE MEDELLÍN","2024-07-16","","24.44253933"
"UNIVERSIDAD DE MEDELLÍN","2024-07-15","","28.94683337"
"UNIVERSIDAD DE MEDELLÍN","2024-07-14","","25.50525844"
"UNIVERSIDAD DE MEDELLÍN","2024-07-13","","22.11273207"
"UNIVERSIDAD DE MEDELLÍN","2024-07-12","","22.60321781"
"UNIVERSIDAD DE MEDELLÍN","2024-07-11","","28.17023095"
"UNIVERSIDAD DE MEDELLÍN","2024-07-10","","21.8020911"
"UNIVERSIDAD DE MEDELLÍN","2024-07-09","","25.99574417"
"UNIVERSIDAD DE MEDELLÍN","2024-07-08","","22.24352827"
"UNIVERSIDAD DE MEDELLÍN","2024-07-07","","22.81576163"
"UNIVERSIDAD DE MEDELLÍN","2024-07-06","","20.78024582"
"UNIVERSIDAD DE MEDELLÍN","2024-07-05","","1.40278921"
"UNIVERSIDAD DE MEDELLÍN","2024-07-04","","15.51569888"
"UNIVERSIDAD DE MEDELLÍN","2024-07-03","","20.07721626"
"UNIVERSIDAD DE MEDELLÍN","2024-07-02","","12.65026698"
"UNIVERSIDAD DE MEDELLÍN","2024-07-01","","30.9578249"
"UNIVERSIDAD DE MEDELLÍN","2024-06-30","","23.48360417"
"UNIVERSIDAD DE MEDELLÍN","2024-06-29","","19.36601194"
"UNIVERSIDAD DE MEDELLÍN","2024-06-28","","17.07707848"
"UNIVERSIDAD DE MEDELLÍN","2024-06-27","","15.67919413"
"UNIVERSIDAD DE MEDELLÍN","2024-06-26","","13.52923164"
"UNIVERSIDAD DE MEDELLÍN","2024-06-25","","21.26255679"
"UNIVERSIDAD DE MEDELLÍN","2024-06-24","","17.66566137"
"UNIVERSIDAD DE MEDELLÍN","2024-06-23","","22.6931402"
"UNIVERSIDAD DE MEDELLÍN","2024-06-22","","27.88518054"
"UNIVERSIDAD DE MEDELLÍN","2024-06-21","","13.79245898"
"UNIVERSIDAD DE MEDELLÍN","2024-06-20","","26.20473375"
"UNIVERSIDAD DE MEDELLÍN","2024-06-19","","24.54881124"
"UNIVERSIDAD DE MEDELLÍN","2024-06-18","","24.4304549"
"UNIVERSIDAD DE MEDELLÍN","2024-06-17","","20.99278963"
"UNIVERSIDAD DE MEDELLÍN","2024-06-16","","20.81294486"
"UNIVERSIDAD DE MEDELLÍN","2024-06-15","","11.4773663"
"UNIVERSIDAD DE MEDELLÍN","2024-06-14","","15.02521314"
"UNIVERSIDAD DE MEDELLÍN","2024-06-13","","16.96654148"
"UNIVERSIDAD DE MEDELLÍN","2024-06-12","","16.66016561"
"UNIVERSIDAD DE MEDELLÍN","2024-06-11","","14.8254646"
"UNIVERSIDAD DE MEDELLÍN","2024-06-10","","24.99344723"
"UNIVERSIDAD DE MEDELLÍN","2024-06-09","","27.64633531"
"UNIVERSIDAD DE MEDELLÍN","2024-06-08","","26.92979963"
"UNIVERSIDAD DE MEDELLÍN","2024-06-07","","15.81945584"
"UNIVERSIDAD DE MEDELLÍN","2024-06-06","","22.33047801"
"UNIVERSIDAD DE MEDELLÍN","2024-06-05","","14.90223628"
"UNIVERSIDAD DE MEDELLÍN","2024-06-04","","12.22944443"
"UNIVERSIDAD DE MEDELLÍN","2024-06-03","","33.18486372"
"UNIVERSIDAD DE MEDELLÍN","2024-06-02","","25.27636509"
"UNIVERSIDAD DE MEDELLÍN","2024-06-01","","20.25706103"
"UNIVERSIDAD DE MEDELLÍN","2024-05-28","","34.60493672"
"UNIVERSIDAD DE MEDELLÍN","2024-05-27","","19.92353072"
"UNIVERSIDAD DE MEDELLÍN","2024-05-26","","34.43209889"
"UNIVERSIDAD DE MEDELLÍN","2024-05-25","","26.67209819"
"UNIVERSIDAD DE MEDELLÍN","2024-05-24","","23.53478529"
"UNIVERSIDAD DE MEDELLÍN","2024-05-23","","32.45232009"
"UNIVERSIDAD DE MEDELLÍN","2024-05-22","","21.51941643"
"UNIVERSIDAD DE MEDELLÍN","2024-05-21","","13.88849093"
"UNIVERSIDAD DE MEDELLÍN","2024-05-20","","18.09252613"
"UNIVERSIDAD DE MEDELLÍN","2024-05-19","","39.38600485"
"UNIVERSIDAD DE MEDELLÍN","2024-05-18","","26.97671565"
"UNIVERSIDAD DE MEDELLÍN","2024-05-17","","32.49468022"
"UNIVERSIDAD DE MEDELLÍN","2024-05-16","","25.80772464"
"UNIVERSIDAD DE MEDELLÍN","2024-05-15","","21.85931444"
"UNIVERSIDAD DE MEDELLÍN","2024-05-14","","18.73655524"
"UNIVERSIDAD DE MEDELLÍN","2024-05-13","","36.2305466"
"UNIVERSIDAD DE MEDELLÍN","2024-05-12","","20.51047866"
"UNIVERSIDAD DE MEDELLÍN","2024-05-11","","30.81067918"
"UNIVERSIDAD DE MEDELLÍN","2024-05-10","","24.31103229"
"UNIVERSIDAD DE MEDELLÍN","2024-05-09","","17.44494279"
"UNIVERSIDAD DE MEDELLÍN","2024-05-08","","25.40716128"
"UNIVERSIDAD DE MEDELLÍN","2024-05-07","","32.20856354"
"UNIVERSIDAD DE MEDELLÍN","2024-05-06","","28.28467762"
"UNIVERSIDAD DE MEDELLÍN","2024-05-05","","40.00728679"
"UNIVERSIDAD DE MEDELLÍN","2024-05-04","","23.97657788"
"UNIVERSIDAD DE MEDELLÍN","2024-05-03","","21.83479015"
"UNIVERSIDAD DE MEDELLÍN","2024-05-02","","13.13684305"
"UNIVERSIDAD DE MEDELLÍN","2024-05-01","","33.75359362"
"UNIVERSIDAD DE MEDELLÍN","2024-04-30","","25.49672825"
"UNIVERSIDAD DE MEDELLÍN","2024-04-29","","15.57782708"
"UNIVERSIDAD DE MEDELLÍN","2024-04-28","","15.1641841"
"UNIVERSIDAD DE MEDELLÍN","2024-04-27","","33.37755455"
