"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD DE MEDELLÍN","2025-08-26","","23.55800694"
"UNIVERSIDAD DE MEDELLÍN","2025-08-25","","22.45414583"
"UNIVERSIDAD DE MEDELLÍN","2025-08-24","","22.65209028"
"UNIVERSIDAD DE MEDELLÍN","2025-08-23","","21.3896875"
"UNIVERSIDAD DE MEDELLÍN","2025-08-22","","19.55822222"
"UNIVERSIDAD DE MEDELLÍN","2025-08-21","","22.40753472"
"UNIVERSIDAD DE MEDELLÍN","2025-08-20","","22.85273611"
"UNIVERSIDAD DE MEDELLÍN","2025-08-19","","22.60433333"
"UNIVERSIDAD DE MEDELLÍN","2025-08-18","","21.13859028"
"UNIVERSIDAD DE MEDELLÍN","2025-08-17","","20.07582639"
"UNIVERSIDAD DE MEDELLÍN","2025-08-16","","19.71220833"
"UNIVERSIDAD DE MEDELLÍN","2025-08-15","","19.46640972"
"UNIVERSIDAD DE MEDELLÍN","2025-08-14","","21.41934722"
"UNIVERSIDAD DE MEDELLÍN","2025-08-13","","21.80817361"
"UNIVERSIDAD DE MEDELLÍN","2025-08-12","","22.26840972"
"UNIVERSIDAD DE MEDELLÍN","2025-08-11","","21.71254167"
"UNIVERSIDAD DE MEDELLÍN","2025-08-10","","19.4074375"
"UNIVERSIDAD DE MEDELLÍN","2025-08-09","","20.04473156"
"UNIVERSIDAD DE MEDELLÍN","2025-08-08","","19.98680556"
"UNIVERSIDAD DE MEDELLÍN","2025-08-07","","19.30123611"
"UNIVERSIDAD DE MEDELLÍN","2025-08-06","","22.54940942"
"UNIVERSIDAD DE MEDELLÍN","2025-08-05","","21.36520833"
"UNIVERSIDAD DE MEDELLÍN","2025-08-04","","22.45595139"
"UNIVERSIDAD DE MEDELLÍN","2025-08-03","","21.97963889"
"UNIVERSIDAD DE MEDELLÍN","2025-08-02","","21.12979861"
"UNIVERSIDAD DE MEDELLÍN","2025-08-01","","23.8536875"
"UNIVERSIDAD DE MEDELLÍN","2025-07-31","","23.58401265"
"UNIVERSIDAD DE MEDELLÍN","2025-07-30","","21.69414583"
"UNIVERSIDAD DE MEDELLÍN","2025-07-29","","22.07538195"
"UNIVERSIDAD DE MEDELLÍN","2025-07-28","","22.16076389"
"UNIVERSIDAD DE MEDELLÍN","2025-07-27","","21.62320139"
"UNIVERSIDAD DE MEDELLÍN","2025-07-26","","19.66729167"
