"Estacion","Fecha inicial","Fecha final","VViento"
"ALMACÉN GENERAL DE EPM","2025-01-07","","0.91363258"
"ALMACÉN GENERAL DE EPM","2025-01-06","","1.46803693"
"ALMACÉN GENERAL DE EPM","2025-01-05","","0.68970721"
"ALMACÉN GENERAL DE EPM","2025-01-04","","0.76182768"
"ALMACÉN GENERAL DE EPM","2025-01-03","","1.00741845"
"ALMACÉN GENERAL DE EPM","2025-01-02","","1.30256555"
"ALMACÉN GENERAL DE EPM","2025-01-01","","1.56975845"
"ALMACÉN GENERAL DE EPM","2024-12-31","","1.82186787"
"ALMACÉN GENERAL DE EPM","2024-12-30","","0.98044245"
"ALMACÉN GENERAL DE EPM","2024-12-29","","1.65471452"
"ALMACÉN GENERAL DE EPM","2024-12-28","","1.32739551"
"ALMACÉN GENERAL DE EPM","2024-12-27","","0.99768439"
"ALMACÉN GENERAL DE EPM","2024-12-26","","0.75820586"
"ALMACÉN GENERAL DE EPM","2024-12-25","","0.88777441"
"ALMACÉN GENERAL DE EPM","2024-12-24","","0.77824619"
"ALMACÉN GENERAL DE EPM","2024-12-23","","1.35364364"
"ALMACÉN GENERAL DE EPM","2024-12-22","","1.88538681"
"ALMACÉN GENERAL DE EPM","2024-12-21","","1.41063704"
"ALMACÉN GENERAL DE EPM","2024-12-20","","0.70993714"
"ALMACÉN GENERAL DE EPM","2024-12-19","","1.1829816"
"ALMACÉN GENERAL DE EPM","2024-12-18","","1.91348117"
"ALMACÉN GENERAL DE EPM","2024-12-17","","2.37963391"
"ALMACÉN GENERAL DE EPM","2024-12-16","","1.9937926"
"ALMACÉN GENERAL DE EPM","2024-12-15","","1.03355101"
"ALMACÉN GENERAL DE EPM","2024-12-14","","2.07421913"
"ALMACÉN GENERAL DE EPM","2024-12-13","","1.85528019"
"ALMACÉN GENERAL DE EPM","2024-12-12","","2.02009016"
"ALMACÉN GENERAL DE EPM","2024-12-11","","1.75316188"
"ALMACÉN GENERAL DE EPM","2024-12-10","","1.84249009"
