"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"ALMACÉN GENERAL DE EPM","2025-01-07","","22.66515278"
"ALMACÉN GENERAL DE EPM","2025-01-06","","22.68250694"
"ALMACÉN GENERAL DE EPM","2025-01-05","","21.0446875"
"ALMACÉN GENERAL DE EPM","2025-01-04","","20.66765278"
"ALMACÉN GENERAL DE EPM","2025-01-03","","20.89833333"
"ALMACÉN GENERAL DE EPM","2025-01-02","","21.92940278"
"ALMACÉN GENERAL DE EPM","2025-01-01","","21.72975"
"ALMACÉN GENERAL DE EPM","2024-12-31","","21.46125"
"ALMACÉN GENERAL DE EPM","2024-12-30","","20.59585417"
"ALMACÉN GENERAL DE EPM","2024-12-29","","22.00845139"
"ALMACÉN GENERAL DE EPM","2024-12-28","","21.82898611"
"ALMACÉN GENERAL DE EPM","2024-12-27","","20.31488841"
"ALMACÉN GENERAL DE EPM","2024-12-26","","20.90545139"
"ALMACÉN GENERAL DE EPM","2024-12-25","","22.31346528"
"ALMACÉN GENERAL DE EPM","2024-12-24","","21.61972902"
"ALMACÉN GENERAL DE EPM","2024-12-23","","22.24953472"
"ALMACÉN GENERAL DE EPM","2024-12-22","","22.92986806"
"ALMACÉN GENERAL DE EPM","2024-12-21","","21.66384028"
"ALMACÉN GENERAL DE EPM","2024-12-20","","22.06452083"
"ALMACÉN GENERAL DE EPM","2024-12-19","","22.18411806"
"ALMACÉN GENERAL DE EPM","2024-12-18","","24.28833333"
"ALMACÉN GENERAL DE EPM","2024-12-17","","23.42567361"
"ALMACÉN GENERAL DE EPM","2024-12-16","","21.46959028"
"ALMACÉN GENERAL DE EPM","2024-12-15","","20.69561806"
"ALMACÉN GENERAL DE EPM","2024-12-14","","22.38474306"
"ALMACÉN GENERAL DE EPM","2024-12-13","","22.90440972"
"ALMACÉN GENERAL DE EPM","2024-12-12","","22.95020139"
"ALMACÉN GENERAL DE EPM","2024-12-11","","23.231375"
"ALMACÉN GENERAL DE EPM","2024-12-10","","23.4185"
"ALMACÉN GENERAL DE EPM","2024-12-09","","23.07777083"
"ALMACÉN GENERAL DE EPM","2024-12-08","","22.49083333"
"ALMACÉN GENERAL DE EPM","2024-12-07","","22.62379167"
"ALMACÉN GENERAL DE EPM","2024-12-06","","23.24229167"
"ALMACÉN GENERAL DE EPM","2024-12-05","","23.41088195"
"ALMACÉN GENERAL DE EPM","2024-12-04","","25.6747037"
"ALMACÉN GENERAL DE EPM","2024-11-14","","20.57937778"
"ALMACÉN GENERAL DE EPM","2024-11-13","","21.62559028"
"ALMACÉN GENERAL DE EPM","2024-11-12","","21.83729167"
"ALMACÉN GENERAL DE EPM","2024-11-11","","20.33502083"
"ALMACÉN GENERAL DE EPM","2024-11-10","","20.506875"
"ALMACÉN GENERAL DE EPM","2024-11-09","","20.68657639"
"ALMACÉN GENERAL DE EPM","2024-11-08","","19.44064583"
"ALMACÉN GENERAL DE EPM","2024-11-07","","21.41741667"
"ALMACÉN GENERAL DE EPM","2024-11-06","","23.20390972"
"ALMACÉN GENERAL DE EPM","2024-11-05","","22.03028472"
"ALMACÉN GENERAL DE EPM","2024-11-04","","20.46090278"
"ALMACÉN GENERAL DE EPM","2024-11-03","","22.30553436"
"ALMACÉN GENERAL DE EPM","2024-11-02","","22.72534722"
"ALMACÉN GENERAL DE EPM","2024-11-01","","20.96329861"
"ALMACÉN GENERAL DE EPM","2024-10-31","","22.14059028"
"ALMACÉN GENERAL DE EPM","2024-10-30","","22.11004861"
"ALMACÉN GENERAL DE EPM","2024-10-29","","23.88691667"
"ALMACÉN GENERAL DE EPM","2024-10-28","","24.04383333"
"ALMACÉN GENERAL DE EPM","2024-10-27","","23.84716667"
"ALMACÉN GENERAL DE EPM","2024-10-26","","24.48229861"
"ALMACÉN GENERAL DE EPM","2024-10-25","","25.07675694"
"ALMACÉN GENERAL DE EPM","2024-10-24","","22.93989583"
"ALMACÉN GENERAL DE EPM","2024-10-23","","23.15022222"
"ALMACÉN GENERAL DE EPM","2024-10-22","","21.1075625"
"ALMACÉN GENERAL DE EPM","2024-10-21","","21.02718055"
"ALMACÉN GENERAL DE EPM","2024-10-20","","21.34711111"
"ALMACÉN GENERAL DE EPM","2024-10-19","","22.294875"
"ALMACÉN GENERAL DE EPM","2024-10-18","","24.48963194"
"ALMACÉN GENERAL DE EPM","2024-10-17","","23.16924306"
