"Estacion","Fecha inicial","Fecha final","PM10"
"ALMACÉN GENERAL DE EPM","2025-01-04","","38.16666667"
"ALMACÉN GENERAL DE EPM","2025-01-03","","39.91666667"
"ALMACÉN GENERAL DE EPM","2025-01-02","","34.58333333"
"ALMACÉN GENERAL DE EPM","2025-01-01","","36.54166667"
"ALMACÉN GENERAL DE EPM","2024-12-31","","36.125"
"ALMACÉN GENERAL DE EPM","2024-12-30","","43.66666667"
"ALMACÉN GENERAL DE EPM","2024-12-29","","18.71428571"
"ALMACÉN GENERAL DE EPM","2024-12-28","","30.875"
"ALMACÉN GENERAL DE EPM","2024-12-27","","43.66666667"
"ALMACÉN GENERAL DE EPM","2024-12-26","","32.82608696"
"ALMACÉN GENERAL DE EPM","2024-12-25","","35.375"
"ALMACÉN GENERAL DE EPM","2024-12-24","","40.66666667"
"ALMACÉN GENERAL DE EPM","2024-12-23","","20.08695652"
"ALMACÉN GENERAL DE EPM","2024-12-22","","20.77272727"
"ALMACÉN GENERAL DE EPM","2024-12-21","","30.70833333"
"ALMACÉN GENERAL DE EPM","2024-12-20","","59.60869565"
"ALMACÉN GENERAL DE EPM","2024-12-19","","41.0"
"ALMACÉN GENERAL DE EPM","2024-12-18","","32.91666667"
"ALMACÉN GENERAL DE EPM","2024-12-17","","34.16666667"
"ALMACÉN GENERAL DE EPM","2024-12-16","","27.375"
"ALMACÉN GENERAL DE EPM","2024-12-15","","22.9047619"
"ALMACÉN GENERAL DE EPM","2024-12-14","","44.875"
"ALMACÉN GENERAL DE EPM","2024-12-13","","41.30434783"
"ALMACÉN GENERAL DE EPM","2024-12-12","","39.875"
"ALMACÉN GENERAL DE EPM","2024-12-11","","41.73913043"
"ALMACÉN GENERAL DE EPM","2024-12-10","","37.75"
"ALMACÉN GENERAL DE EPM","2024-12-09","","36.45833333"
"ALMACÉN GENERAL DE EPM","2024-12-08","","28.58333333"
"ALMACÉN GENERAL DE EPM","2024-12-07","","25.83333333"
"ALMACÉN GENERAL DE EPM","2024-12-06","","37.16666667"
"ALMACÉN GENERAL DE EPM","2024-12-05","","34.125"
"ALMACÉN GENERAL DE EPM","2024-12-04","","35.375"
"ALMACÉN GENERAL DE EPM","2024-12-03","","35.13043478"
"ALMACÉN GENERAL DE EPM","2024-12-02","","33.20833333"
"ALMACÉN GENERAL DE EPM","2024-12-01","","26.375"
"ALMACÉN GENERAL DE EPM","2024-11-30","","28.95833333"
"ALMACÉN GENERAL DE EPM","2024-11-29","","27.33333333"
"ALMACÉN GENERAL DE EPM","2024-11-28","","24.0"
"ALMACÉN GENERAL DE EPM","2024-11-27","","24.2173913"
"ALMACÉN GENERAL DE EPM","2024-11-26","","24.95652174"
"ALMACÉN GENERAL DE EPM","2024-11-25","","29.04545455"
"ALMACÉN GENERAL DE EPM","2024-11-24","","22.80952381"
"ALMACÉN GENERAL DE EPM","2024-11-23","","28.08333333"
"ALMACÉN GENERAL DE EPM","2024-11-22","","31.78571429"
"ALMACÉN GENERAL DE EPM","2024-11-21","","31.72727273"
"ALMACÉN GENERAL DE EPM","2024-11-20","","52.04166667"
"ALMACÉN GENERAL DE EPM","2024-11-19","","54.79166667"
"ALMACÉN GENERAL DE EPM","2024-11-18","","31.18181818"
"ALMACÉN GENERAL DE EPM","2024-11-17","","20.69565217"
"ALMACÉN GENERAL DE EPM","2024-11-16","","31.375"
"ALMACÉN GENERAL DE EPM","2024-11-15","","42.375"
"ALMACÉN GENERAL DE EPM","2024-11-14","","27.47826087"
"ALMACÉN GENERAL DE EPM","2024-11-13","","24.0"
"ALMACÉN GENERAL DE EPM","2024-11-12","","24.65217391"
