"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD DE MEDELLÍN","2025-08-26","","1.10094105"
"UNIVERSIDAD DE MEDELLÍN","2025-08-25","","0.84758336"
"UNIVERSIDAD DE MEDELLÍN","2025-08-24","","1.11663009"
"UNIVERSIDAD DE MEDELLÍN","2025-08-23","","0.60939639"
"UNIVERSIDAD DE MEDELLÍN","2025-08-22","","0.83876965"
"UNIVERSIDAD DE MEDELLÍN","2025-08-21","","0.72232793"
"UNIVERSIDAD DE MEDELLÍN","2025-08-20","","0.96006184"
"UNIVERSIDAD DE MEDELLÍN","2025-08-19","","0.86946263"
"UNIVERSIDAD DE MEDELLÍN","2025-08-18","","0.63478378"
"UNIVERSIDAD DE MEDELLÍN","2025-08-17","","0.78153113"
"UNIVERSIDAD DE MEDELLÍN","2025-08-16","","0.89840393"
"UNIVERSIDAD DE MEDELLÍN","2025-08-15","","0.75271356"
"UNIVERSIDAD DE MEDELLÍN","2025-08-14","","0.88761187"
"UNIVERSIDAD DE MEDELLÍN","2025-08-13","","0.92274917"
"UNIVERSIDAD DE MEDELLÍN","2025-08-12","","1.10796963"
"UNIVERSIDAD DE MEDELLÍN","2025-08-11","","0.9885601"
"UNIVERSIDAD DE MEDELLÍN","2025-08-10","","0.81484102"
"UNIVERSIDAD DE MEDELLÍN","2025-08-09","","0.87480654"
"UNIVERSIDAD DE MEDELLÍN","2025-08-08","","0.81693873"
"UNIVERSIDAD DE MEDELLÍN","2025-08-07","","0.74471967"
"UNIVERSIDAD DE MEDELLÍN","2025-08-06","","1.09747967"
"UNIVERSIDAD DE MEDELLÍN","2025-08-05","","1.38194741"
"UNIVERSIDAD DE MEDELLÍN","2025-08-04","","1.07632698"
"UNIVERSIDAD DE MEDELLÍN","2025-08-03","","1.08102438"
"UNIVERSIDAD DE MEDELLÍN","2025-08-02","","0.88393282"
"UNIVERSIDAD DE MEDELLÍN","2025-08-01","","1.07130173"
"UNIVERSIDAD DE MEDELLÍN","2025-07-31","","1.02727946"
"UNIVERSIDAD DE MEDELLÍN","2025-07-30","","1.03478249"
"UNIVERSIDAD DE MEDELLÍN","2025-07-29","","0.84682209"
"UNIVERSIDAD DE MEDELLÍN","2025-07-28","","0.91781236"
