"Estacion","Fecha inicial","Fecha final","O3"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-18","","31.96005076"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-17","","38.58487815"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-16","","45.05111514"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-15","","37.26874141"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-14","","35.99347849"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-13","","28.77516336"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-12","","29.58446483"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-11","","33.68002075"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-10","","27.61434711"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-09","","38.486781"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-08","","39.28790771"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-07","","31.56275731"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-06","","45.77049423"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-05","","32.25761211"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-04","","26.79033107"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-03","","25.92217131"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-02","","28.32555143"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-01","","29.48636768"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-31","","28.14961633"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-30","","20.9355663"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-29","","22.9302083"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-28","","13.75812498"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-27","","33.37755455"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-26","","30.33654297"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-25","","33.53287503"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-24","","32.16768972"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-23","","28.75881384"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-22","","27.81871617"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-21","","29.39177401"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-20","","30.4591644"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-19","","28.26015334"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-18","","25.4480351"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-17","","20.06086673"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-16","","23.16727641"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-15","","20.80512553"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-14","","30.3937663"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-13","","29.29017339"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-12","","31.1540192"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-11","","26.23281228"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-10","","24.58968506"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-09","","27.64704616"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-08","","25.55430701"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-07","","24.42618981"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-06","","29.28199863"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-05","","14.47572694"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-04","","3.71951686"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-03","","3.83396353"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-02","","2.32980726"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-01","","16.2269032"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-30","","27.05028851"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-29","","32.77262214"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-28","","26.61702611"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-27","","26.81322041"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-26","","27.91681332"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-25","","30.5245625"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-24","","31.48918446"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-23","","27.6388714"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-22","","24.55698601"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-21","","11.43089923"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-20","","19.9382453"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-19","","15.97348557"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-18","","22.38249923"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-17","","31.75077685"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-16","","26.4453561"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-15","","23.11822784"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-14","","25.35811272"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-13","","34.5383708"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-12","","24.76135506"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-11","","24.24634504"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-10","","31.72625256"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-09","","27.0748128"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-08","","7.85931267"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-07","","18.93274953"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-06","","19.1125943"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-05","","26.87044374"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-04","","20.36333294"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-03","","16.25142749"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-02","","17.04437943"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-01","","18.75290476"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-31","","42.03676039"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-30","","18.30329283"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-29","","29.20842577"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-28","","32.17586449"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-27","","27.98221142"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-26","","25.83224893"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-25","","17.84550614"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-24","","29.38243142"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-23","","39.67212154"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-22","","29.05310528"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-21","","17.25692326"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-20","","19.49680813"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-19","","28.57896907"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-18","","28.92230908"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-17","","24.53246172"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-16","","35.14330321"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-15","","39.69664582"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-14","","31.84887399"
"MEDELLÍN - TANQUES LA YE EPM","2023-10-13","","35.54386656"
