"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-09","","19.37738195"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-08","","19.41640278"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-07","","19.78120833"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-06","","18.95244444"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-05","","17.94244444"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-04","","18.43324305"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-03","","18.86591667"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-02","","19.04813889"
"MEDELLÍN - TANQUES LA YE EPM","2024-01-01","","18.26353472"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-31","","18.37850725"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-30","","18.11054861"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-29","","17.92360417"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-28","","17.88638194"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-27","","18.24040278"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-26","","18.33308333"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-25","","19.07454167"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-24","","19.38278472"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-23","","19.26913195"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-22","","19.61783333"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-21","","19.56279861"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-20","","19.24940278"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-19","","18.93290972"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-18","","19.23170833"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-17","","18.01445833"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-16","","18.24699306"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-15","","19.01969565"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-14","","20.01890972"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-13","","19.81002083"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-12","","20.81221528"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-11","","20.28358333"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-10","","19.68709028"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-09","","19.98652778"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-08","","18.76370833"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-07","","17.79891667"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-06","","18.7778125"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-05","","19.5989375"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-04","","19.04356944"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-03","","19.24829167"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-02","","19.06490972"
"MEDELLÍN - TANQUES LA YE EPM","2023-12-01","","18.89847222"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-30","","19.17871739"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-29","","19.94767361"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-28","","19.57188194"
"MEDELLÍN - TANQUES LA YE EPM","2023-11-27","","19.90256944"
