"Estacion","Fecha inicial","Fecha final","VViento"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-03","","0.79496586"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-02","","0.87797092"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-01","","0.70554027"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-31","","1.01320951"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-30","","0.97714168"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-29","","0.90674357"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-28","","1.02176746"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-27","","0.73167098"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-26","","0.73094549"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-25","","1.0089016"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-24","","0.76759511"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-23","","0.65626711"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-22","","0.59057778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-21","","0.72396002"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-20","","0.74202407"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-19","","0.50192883"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-18","","0.50899191"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-17","","0.87467279"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-16","","0.61656046"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-15","","0.95586977"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-14","","0.80196138"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-13","","0.84600146"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-12","","0.99915288"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-11","","1.11874363"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-10","","0.74748795"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-09","","0.6553563"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-08","","0.66440175"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-07","","0.46516802"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-06","","0.59833857"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-05","","0.32483501"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-04","","0.39846311"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-03","","0.48925227"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-02","","0.61110335"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-01","","0.77807954"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-31","","0.77298585"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-30","","0.43068358"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-29","","0.75386797"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-28","","0.54684351"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-27","","0.46280621"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-26","","0.39828663"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-25","","0.45593506"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-24","","0.44432507"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-23","","0.52974592"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-22","","0.82870086"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-21","","0.74221827"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-20","","0.3987721"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-19","","0.4659544"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-18","","0.60601092"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-17","","1.14621538"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-16","","0.79611919"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-15","","0.62946108"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-14","","1.02253231"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-13","","0.99506527"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-12","","1.00543232"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-11","","0.91477084"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-10","","0.73107357"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-09","","0.49923402"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-08","","0.79952458"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-07","","1.03837054"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-06","","0.53293539"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-05","","0.78397808"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-04","","0.76950574"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-03","","0.60595834"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-02","","0.50690134"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-01","","0.7424025"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-30","","0.72929988"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-29","","0.56878264"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-28","","0.7365673"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-27","","0.64723152"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-26","","0.59209152"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-25","","0.51528783"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-24","","0.48973068"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-23","","0.53038864"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-22","","0.51656619"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-21","","0.49355157"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-20","","0.31465122"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-19","","0.40825021"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-18","","0.47425001"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-17","","0.57436173"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-16","","0.39751981"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-15","","0.38204164"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-14","","0.50324436"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-13","","0.66441223"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-12","","0.66793063"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-11","","0.44391399"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-10","","0.45049647"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-09","","0.45015006"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-08","","0.38518456"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-07","","0.42994429"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-06","","0.92719494"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-05","","0.64421559"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-04","","0.3348229"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-03","","0.51227196"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-02","","0.60691666"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-01","","0.5332524"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-31","","0.53222896"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-30","","0.55740801"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-29","","0.63160521"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-28","","0.72885359"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-27","","0.75706214"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-26","","0.5917543"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-25","","0.94884121"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-24","","0.58981307"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-23","","0.54406192"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-22","","0.37416173"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-21","","0.33185302"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-20","","0.56658017"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-19","","0.67107912"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-18","","0.74343355"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-17","","0.62248815"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-16","","0.58448955"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-15","","0.50351755"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-14","","0.59113922"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-13","","0.41063691"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-12","","0.61257886"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-11","","0.58359463"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-10","","0.41521176"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-09","","0.63631213"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-08","","0.36482486"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-07","","0.46481268"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-06","","0.30601113"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-05","","0.46133681"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-04","","0.77561387"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-03","","0.79375957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-02","","0.74876235"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-01","","0.64889849"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-30","","0.42784281"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-29","","0.37186135"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-28","","0.64531797"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-27","","0.42207008"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-26","","0.523416"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-25","","0.79687097"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-02","","0.32958301"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-01","","0.47428095"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-08-31","","0.55583346"
