"Estacion","Fecha inicial","Fecha final","PM10"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-02","","23.54166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-02-01","","27.86956522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-31","","25.45454545"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-30","","24.08695652"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-29","","23.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-28","","23.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-27","","28.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-26","","19.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-25","","28.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-24","","40.95652174"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-23","","34.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-22","","32.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-21","","28.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-20","","29.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-19","","24.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-18","","26.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-17","","23.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-16","","29.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-15","","30.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-14","","31.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-13","","29.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-12","","23.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-11","","27.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-10","","27.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-09","","28.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-08","","25.08695652"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-07","","22.56521739"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-06","","15.23809524"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-05","","16.91304348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-04","","23.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-03","","24.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-02","","23.72727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2025-01-01","","24.39130435"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-31","","23.22727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-30","","23.82608696"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-29","","16.73913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-28","","26.52173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-27","","33.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-26","","26.43478261"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-25","","21.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-24","","26.30434783"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-23","","21.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-22","","23.09090909"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-21","","29.91666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-20","","43.91304348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-19","","38.86956522"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-18","","33.39130435"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-17","","29.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-16","","29.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-15","","15.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-14","","41.58333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-13","","32.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-12","","36.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-11","","34.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-10","","34.77272727"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-09","","30.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-08","","23.59090909"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-07","","28.75"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-06","","32.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-05","","31.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-04","","34.36363636"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-03","","34.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-02","","30.79166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-12-01","","35.38888889"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-30","","23.54545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-29","","28.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-28","","29.63636364"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-27","","29.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-26","","28.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-25","","25.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-24","","20.3"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-23","","23.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-22","","27.22727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-21","","27.8"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-20","","42.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-19","","44.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-18","","29.73913043"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-17","","22.36363636"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-16","","32.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-15","","37.95833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-14","","25.375"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-13","","23.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-12","","24.29166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-11","","9.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-10","","20.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-09","","18.83333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-08","","27.20833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-07","","37.7826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-06","","26.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-05","","28.52173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-04","","18.47826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-03","","16.76190476"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-02","","20.04347826"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-11-01","","29.52173913"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-31","","30.72727273"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-30","","36.25"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-29","","31.90909091"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-28","","26.77777778"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-27","","19.33333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-26","","27.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-25","","23.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-24","","34.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-23","","31.69565217"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-22","","29.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-21","","32.04545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-20","","19.76190476"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-19","","27.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-18","","35.15"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-17","","43.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-16","","40.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-15","","33.04166667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-14","","20.70833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-13","","19.125"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-12","","28.70588235"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-11","","28.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-10","","27.16666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-09","","24.45833333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-08","","26.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-07","","29.41666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-06","","28.08333333"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-05","","31.26086957"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-04","","32.47826087"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-03","","25.54545455"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-02","","28.875"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-10-01","","35.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-30","","35.34782609"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-29","","21.5"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-28","","39.91304348"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-27","","37.66666667"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-26","","34.625"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-25","","29.0"
"POLITÉCNICO COLOMBIANO JAIME ISAZA CADAVID","2024-09-24","","28.45833333"
