"Estacion","Fecha inicial","Fecha final","VViento"
"UNIVERSIDAD CES","2025-01-12","","1.06103123"
"UNIVERSIDAD CES","2025-01-11","","0.87841542"
"UNIVERSIDAD CES","2025-01-10","","0.74676585"
"UNIVERSIDAD CES","2025-01-09","","0.76854002"
"UNIVERSIDAD CES","2025-01-08","","0.82684572"
"UNIVERSIDAD CES","2025-01-07","","1.05072836"
"UNIVERSIDAD CES","2025-01-06","","0.83615079"
"UNIVERSIDAD CES","2025-01-05","","0.74547951"
"UNIVERSIDAD CES","2025-01-04","","0.56302302"
"UNIVERSIDAD CES","2025-01-03","","0.69902819"
"UNIVERSIDAD CES","2025-01-02","","0.58714349"
"UNIVERSIDAD CES","2025-01-01","","0.69763586"
"UNIVERSIDAD CES","2024-12-31","","0.86610766"
"UNIVERSIDAD CES","2024-12-30","","0.64427352"
"UNIVERSIDAD CES","2024-12-29","","0.7428037"
"UNIVERSIDAD CES","2024-12-28","","0.73965722"
"UNIVERSIDAD CES","2024-12-27","","0.60773559"
"UNIVERSIDAD CES","2024-12-26","","0.75688479"
"UNIVERSIDAD CES","2024-12-25","","0.94401845"
"UNIVERSIDAD CES","2024-12-24","","0.89183376"
"UNIVERSIDAD CES","2024-12-23","","0.7565472"
"UNIVERSIDAD CES","2024-12-22","","0.87149224"
"UNIVERSIDAD CES","2024-12-21","","0.6143228"
"UNIVERSIDAD CES","2024-12-20","","0.8617421"
"UNIVERSIDAD CES","2024-12-19","","0.88172823"
"UNIVERSIDAD CES","2024-12-18","","1.02835121"
"UNIVERSIDAD CES","2024-12-17","","0.79247073"
"UNIVERSIDAD CES","2024-12-16","","0.53952744"
"UNIVERSIDAD CES","2024-12-15","","0.51172259"
"UNIVERSIDAD CES","2024-12-14","","0.46918013"
"UNIVERSIDAD CES","2024-12-13","","0.7056701"
"UNIVERSIDAD CES","2024-12-12","","0.98086802"
"UNIVERSIDAD CES","2024-12-11","","0.94744236"
"UNIVERSIDAD CES","2024-12-10","","1.13398681"
"UNIVERSIDAD CES","2024-12-09","","1.04354509"
"UNIVERSIDAD CES","2024-12-08","","1.17928634"
"UNIVERSIDAD CES","2024-12-07","","0.73399606"
"UNIVERSIDAD CES","2024-12-06","","0.7549563"
"UNIVERSIDAD CES","2024-12-05","","0.92010158"
"UNIVERSIDAD CES","2024-12-04","","0.99577915"
"UNIVERSIDAD CES","2024-12-03","","1.0118312"
"UNIVERSIDAD CES","2024-12-02","","0.84065454"
"UNIVERSIDAD CES","2024-12-01","","0.96750648"
"UNIVERSIDAD CES","2024-11-30","","1.07127157"
"UNIVERSIDAD CES","2024-11-29","","0.8134492"
"UNIVERSIDAD CES","2024-11-28","","0.7885452"
"UNIVERSIDAD CES","2024-11-27","","0.85865792"
"UNIVERSIDAD CES","2024-11-26","","0.84114118"
"UNIVERSIDAD CES","2024-11-25","","1.04270038"
"UNIVERSIDAD CES","2024-11-24","","0.78541742"
"UNIVERSIDAD CES","2024-11-23","","0.74973446"
"UNIVERSIDAD CES","2024-11-22","","0.51934851"
"UNIVERSIDAD CES","2024-11-21","","0.56856705"
"UNIVERSIDAD CES","2024-11-20","","0.67116649"
"UNIVERSIDAD CES","2024-11-19","","0.82477573"
"UNIVERSIDAD CES","2024-11-18","","0.79336234"
"UNIVERSIDAD CES","2024-11-17","","0.7550043"
"UNIVERSIDAD CES","2024-11-16","","0.65550382"
"UNIVERSIDAD CES","2024-11-15","","0.77481441"
"UNIVERSIDAD CES","2024-11-14","","0.62971"
"UNIVERSIDAD CES","2024-11-13","","0.5049378"
"UNIVERSIDAD CES","2024-11-12","","0.60015621"
"UNIVERSIDAD CES","2024-11-11","","0.57555674"
"UNIVERSIDAD CES","2024-11-10","","0.7423713"
"UNIVERSIDAD CES","2024-11-09","","0.73034759"
"UNIVERSIDAD CES","2024-11-08","","0.67405949"
"UNIVERSIDAD CES","2024-11-07","","0.79506464"
"UNIVERSIDAD CES","2024-11-06","","0.88402296"
"UNIVERSIDAD CES","2024-11-05","","0.98742225"
"UNIVERSIDAD CES","2024-11-04","","0.69689219"
"UNIVERSIDAD CES","2024-11-03","","0.76670266"
"UNIVERSIDAD CES","2024-11-02","","0.92663048"
"UNIVERSIDAD CES","2024-11-01","","0.54424696"
"UNIVERSIDAD CES","2024-09-30","","0.91023688"
"UNIVERSIDAD CES","2024-09-29","","0.80334097"
"UNIVERSIDAD CES","2024-09-28","","0.69460934"
"UNIVERSIDAD CES","2024-09-27","","0.77044696"
"UNIVERSIDAD CES","2024-09-26","","0.78523698"
"UNIVERSIDAD CES","2024-09-25","","0.83131676"
"UNIVERSIDAD CES","2024-09-24","","0.91694291"
"UNIVERSIDAD CES","2024-09-23","","0.69303263"
"UNIVERSIDAD CES","2024-09-22","","0.62364747"
"UNIVERSIDAD CES","2024-09-21","","0.77722302"
"UNIVERSIDAD CES","2024-09-20","","0.74520364"
"UNIVERSIDAD CES","2024-09-19","","0.94110062"
"UNIVERSIDAD CES","2024-09-18","","0.91568005"
"UNIVERSIDAD CES","2024-09-17","","0.81442563"
"UNIVERSIDAD CES","2024-09-16","","0.71852579"
"UNIVERSIDAD CES","2024-09-15","","0.93688563"
"UNIVERSIDAD CES","2024-09-14","","0.86399487"
"UNIVERSIDAD CES","2024-09-13","","1.00236212"
"UNIVERSIDAD CES","2024-09-12","","0.89532122"
"UNIVERSIDAD CES","2024-09-11","","1.09065721"
"UNIVERSIDAD CES","2024-09-10","","1.0561561"
"UNIVERSIDAD CES","2024-09-09","","1.04133601"
"UNIVERSIDAD CES","2024-09-08","","1.3144871"
"UNIVERSIDAD CES","2024-09-07","","0.98294119"
"UNIVERSIDAD CES","2024-09-06","","0.9961589"
"UNIVERSIDAD CES","2024-09-05","","0.73114947"
"UNIVERSIDAD CES","2024-09-04","","0.63958702"
"UNIVERSIDAD CES","2024-09-03","","0.68064005"
"UNIVERSIDAD CES","2024-09-02","","0.75937868"
"UNIVERSIDAD CES","2024-09-01","","0.66054442"
"UNIVERSIDAD CES","2024-08-31","","1.00707935"
"UNIVERSIDAD CES","2024-08-30","","1.06564909"
"UNIVERSIDAD CES","2024-08-29","","0.57686897"
"UNIVERSIDAD CES","2024-08-28","","0.79947372"
"UNIVERSIDAD CES","2024-08-27","","0.97579825"
"UNIVERSIDAD CES","2024-08-26","","0.94401591"
"UNIVERSIDAD CES","2024-08-25","","0.61377437"
"UNIVERSIDAD CES","2024-08-24","","0.59712754"
"UNIVERSIDAD CES","2024-08-23","","0.43562103"
"UNIVERSIDAD CES","2024-08-22","","0.70120835"
"UNIVERSIDAD CES","2024-08-21","","0.86135975"
"UNIVERSIDAD CES","2024-08-20","","1.05940968"
"UNIVERSIDAD CES","2024-08-19","","1.07004236"
"UNIVERSIDAD CES","2024-08-18","","1.15047867"
"UNIVERSIDAD CES","2024-08-17","","0.9983433"
"UNIVERSIDAD CES","2024-08-16","","0.81828853"
"UNIVERSIDAD CES","2024-08-15","","1.27970696"
"UNIVERSIDAD CES","2024-08-14","","0.9814016"
"UNIVERSIDAD CES","2024-08-13","","0.92846884"
"UNIVERSIDAD CES","2024-08-12","","0.75852657"
"UNIVERSIDAD CES","2024-08-11","","0.91690414"
"UNIVERSIDAD CES","2024-08-10","","0.8416989"
"UNIVERSIDAD CES","2024-08-09","","0.85633113"
"UNIVERSIDAD CES","2024-08-08","","0.96444958"
"UNIVERSIDAD CES","2024-08-07","","0.87496488"
"UNIVERSIDAD CES","2024-08-06","","0.57351399"
"UNIVERSIDAD CES","2024-08-05","","0.84918712"
"UNIVERSIDAD CES","2024-08-04","","0.75352412"
"UNIVERSIDAD CES","2024-08-03","","0.90199139"
"UNIVERSIDAD CES","2024-08-02","","1.08399151"
"UNIVERSIDAD CES","2024-08-01","","1.03603074"
"UNIVERSIDAD CES","2024-07-31","","1.10787912"
"UNIVERSIDAD CES","2024-07-30","","1.15660359"
"UNIVERSIDAD CES","2024-07-29","","0.94577785"
"UNIVERSIDAD CES","2024-07-28","","1.05015192"
"UNIVERSIDAD CES","2024-07-27","","0.59175792"
"UNIVERSIDAD CES","2024-07-26","","0.74262835"
"UNIVERSIDAD CES","2024-07-25","","0.75888964"
"UNIVERSIDAD CES","2024-07-24","","1.00405153"
"UNIVERSIDAD CES","2024-07-23","","0.9692568"
"UNIVERSIDAD CES","2024-07-22","","0.90812581"
"UNIVERSIDAD CES","2024-07-21","","0.81193831"
"UNIVERSIDAD CES","2024-07-20","","0.99583128"
"UNIVERSIDAD CES","2024-07-19","","0.70078085"
"UNIVERSIDAD CES","2024-07-18","","0.8146301"
"UNIVERSIDAD CES","2024-07-17","","0.78177103"
"UNIVERSIDAD CES","2024-07-16","","1.1381752"
"UNIVERSIDAD CES","2024-07-15","","0.84461049"
"UNIVERSIDAD CES","2024-07-14","","0.89428738"
"UNIVERSIDAD CES","2024-07-13","","1.15816026"
"UNIVERSIDAD CES","2024-07-12","","1.02072939"
"UNIVERSIDAD CES","2024-07-11","","1.07023566"
"UNIVERSIDAD CES","2024-07-10","","0.91402205"
"UNIVERSIDAD CES","2024-07-09","","0.95260818"
"UNIVERSIDAD CES","2024-07-08","","0.94344317"
"UNIVERSIDAD CES","2024-07-07","","1.03046528"
"UNIVERSIDAD CES","2024-07-06","","1.00263035"
"UNIVERSIDAD CES","2024-07-05","","0.74412398"
"UNIVERSIDAD CES","2024-07-04","","0.72860518"
"UNIVERSIDAD CES","2024-07-03","","0.84045318"
"UNIVERSIDAD CES","2024-07-02","","0.7083948"
"UNIVERSIDAD CES","2024-07-01","","0.99793988"
"UNIVERSIDAD CES","2024-06-30","","0.78262245"
"UNIVERSIDAD CES","2024-06-29","","0.84030936"
