"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"UNIVERSIDAD CES","2025-01-12","","20.326865"
"UNIVERSIDAD CES","2025-01-11","","20.47836794"
"UNIVERSIDAD CES","2025-01-10","","19.7760819"
"UNIVERSIDAD CES","2025-01-09","","19.23374306"
"UNIVERSIDAD CES","2025-01-08","","20.23895249"
"UNIVERSIDAD CES","2025-01-07","","18.76570833"
"UNIVERSIDAD CES","2025-01-06","","19.82527895"
"UNIVERSIDAD CES","2025-01-05","","18.32135917"
"UNIVERSIDAD CES","2025-01-04","","17.93438889"
"UNIVERSIDAD CES","2025-01-03","","17.71599306"
"UNIVERSIDAD CES","2025-01-02","","18.99895139"
"UNIVERSIDAD CES","2025-01-01","","18.99198611"
"UNIVERSIDAD CES","2024-12-31","","18.35302083"
"UNIVERSIDAD CES","2024-12-30","","17.55505556"
"UNIVERSIDAD CES","2024-12-29","","19.10635417"
"UNIVERSIDAD CES","2024-12-28","","18.78014583"
"UNIVERSIDAD CES","2024-12-27","","17.94855556"
"UNIVERSIDAD CES","2024-12-26","","18.64516667"
"UNIVERSIDAD CES","2024-12-25","","19.20234028"
"UNIVERSIDAD CES","2024-12-24","","18.39183333"
"UNIVERSIDAD CES","2024-12-23","","19.01529861"
"UNIVERSIDAD CES","2024-12-22","","19.8486875"
"UNIVERSIDAD CES","2024-12-21","","19.42001389"
"UNIVERSIDAD CES","2024-12-20","","19.39711488"
"UNIVERSIDAD CES","2024-12-19","","18.85287159"
"UNIVERSIDAD CES","2024-12-18","","20.88060991"
"UNIVERSIDAD CES","2024-12-17","","20.53235058"
"UNIVERSIDAD CES","2024-12-16","","18.88964441"
"UNIVERSIDAD CES","2024-12-15","","18.17488195"
"UNIVERSIDAD CES","2024-12-14","","19.89004426"
"UNIVERSIDAD CES","2024-12-13","","20.1115249"
"UNIVERSIDAD CES","2024-12-12","","19.37784985"
"UNIVERSIDAD CES","2024-12-11","","20.12969444"
"UNIVERSIDAD CES","2024-12-10","","19.88235673"
"UNIVERSIDAD CES","2024-12-09","","19.41253941"
"UNIVERSIDAD CES","2024-12-08","","18.96600548"
"UNIVERSIDAD CES","2024-12-07","","19.47672019"
"UNIVERSIDAD CES","2024-12-06","","20.05034042"
"UNIVERSIDAD CES","2024-12-05","","19.88839139"
"UNIVERSIDAD CES","2024-12-04","","19.67997161"
"UNIVERSIDAD CES","2024-12-03","","19.25719984"
"UNIVERSIDAD CES","2024-12-02","","19.84244444"
"UNIVERSIDAD CES","2024-12-01","","20.59863889"
"UNIVERSIDAD CES","2024-11-30","","20.66949306"
"UNIVERSIDAD CES","2024-11-29","","20.1286875"
"UNIVERSIDAD CES","2024-11-28","","20.25424141"
"UNIVERSIDAD CES","2024-11-27","","18.99837197"
"UNIVERSIDAD CES","2024-11-26","","20.56342361"
"UNIVERSIDAD CES","2024-11-25","","20.19815972"
"UNIVERSIDAD CES","2024-11-24","","19.72396528"
"UNIVERSIDAD CES","2024-11-23","","18.01701565"
"UNIVERSIDAD CES","2024-11-22","","18.38483651"
"UNIVERSIDAD CES","2024-11-21","","18.69233333"
"UNIVERSIDAD CES","2024-11-20","","17.90329861"
"UNIVERSIDAD CES","2024-11-19","","17.49372917"
"UNIVERSIDAD CES","2024-11-18","","17.97138889"
"UNIVERSIDAD CES","2024-11-17","","18.65048611"
"UNIVERSIDAD CES","2024-11-16","","18.27072222"
"UNIVERSIDAD CES","2024-11-15","","17.75836806"
"UNIVERSIDAD CES","2024-11-14","","17.59122222"
"UNIVERSIDAD CES","2024-11-13","","18.68610417"
